GK 5633-5634 Sonneberg_Teuschnitz2.tif;5633_5634;Sonneberg_Teuschnitz2;;;;
GK 5726 Bad Kissingen Nord2.tif;5726;Bad;Kissingen;Nord2;;
GK25_5737_Karte_georef1.tif;5737;;;;;
5826_1.tif;5826;;;;;
GK 5829 Hofheim i. UFr11.tif;5829;Hofheim;i.;UFr11;;
GK 5833 Burgkunstadt1.tif;5833;Burunstadt1;;;;
GK 5836 Münchberg1.tif;5836;Münchberg1;;;;
GK25_5921_Karte_georef1.tif;5921;;;;;
GK 5922 Frammersbach1.tif;5922;Frammersbach1;;;;
GK 5924 Gemünden am Main1.tif;5924;Gemünden;am;Main1;;
GK 5927 Schweinfurt1.tif;5927;Schweinfurt1;;;;
GK 5931 Ebensfeld1.tif;5931;Ebensfeld1;;;;
GK 6020 Aschaffenburg1.tif;6020;Aschaffenburg1;;;;
GK 6023 Lohr a Main1.tif;6023;Lohr;a;Main1;;
GK 6024 Karlstadt1.tif;6024;Karlstadt1;;;;
GK6027 Grettstadt1.tif;6027;Grettstadt1;;;;
GK 6031 Bamberg Nord1.tif;6031;Bamberg;Nord1;;;
GK 6032 Scheßlitz1.tif;6032;Scheßlitz1;;;;
GK 6033 Hollfeld1.tif;6033;Hollfeld1;;;;
GK 6035 Bayreuth1.tif;6035;Bayreuth1;;;;
GK 6123 Marktheidenfeld1.tif;6123;Marktheidenfeld1;;;;
GK 6124 Remlingen1.tif;6124;Remlingen1;;;;
GK 6125 Würzburg Nord1.tif;6125;Würzburg;Nord1;;;
GK 6126 Dettelbach1.tif;6126;Dettelbach1;;;;
GK 6127 Volkach2.tif;6127;Volkach2;;;;
GK 6131 Bamberg-Süd1.tif;6131;Bamberg-Süd1;;;;
GK 6132 Buttenheim1.tif;6132;Buttenheim1;;;;
GK 6135 Creussen1.tif;6135;Creussen1;;;;
GK 6137 Kemnath1.tif;6137;Kemnath1;;;;
GK 6140-6141 Tirschenreuth-Treppenstein1.tif;6140_6141;Tirschenreuth-Treppenstein1;;;;
GK 6224 Helmstadt1.tif;6224;Helmstadt1;;;;
GK 6225 Würzburg-Süd1.tif;6225;Würzburg-Süd1;;;;
GK 6226 Kitzingen1.tif;6226;Kitzingen1;;;;
GK 6227 Iphofen1.tif;6227;Iphofen1;;;;
GK 6230 Höchstadt a. d1.tif;6230;Höchstadt;a.;d1;;
GK 6231 Adelsdorf1.tif;6231;Adelsdorf1;;;;
GK 6232 Forchheim2.tif;6232;Forchheim2;;;;
GK 6234 Pottenstein1.tif;6234;Pottenstein1;;;;
GK 6235 Pegnitz1.tif;6235;Pegnitz1;;;;
GK 6237 Grafenwöhr (1960)1.tif;6237;Grafenwöhr;(1960)1;;;
6239 Neustadt Waldnaab1.tif;6239;Neustadt;Waldnaab1;;;
GK 6324 Tauberbischofsheim Ost1.tif;6324;Tauberbischofsheim;Ost1;;;
GK 6326 Ochsenfurt1.tif;6326;Ochsenfurt1;;;;
GK 6328 Scheinfeld1.tif;6328;Scheinfeld1;;;;
GK 6329 Baudenbach1.tif;6329;Baudenbach1;;;;
GK 6330 Uehlfeld1.tif;6330;Uehlfeld1;;;;
